"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"0","2023/03/13","ピザーラ","-13520","三井住友カード","食費","外食","","0","NJEnVwfOW6OiozBLmoj_-Q"
"1","2023/03/11","AMAZON.CO.JP","-2145","三井住友カード","日用品","子育て用品","ベビーチェア","0","-vC4B2AYVoHbr1jYpV0NBA"
"1","2023/03/10","タイヨー ビッグハウス印西店","-413","三井住友カード","食費","食費","","0","pG86mqdFx0VrCD2gJAgWaA"
"1","2023/03/10","ナチュラム 楽天市場支店 ラクテンイチバ790020","-4945","楽天カード","日用品","アウトドア用品","ポップアップテント","0","P3ZDOWiNTbRQLG0yLRvW_A"
"0","2023/03/10","振込 シモヤマ シユウゴ","49610","みずほ銀行(ゆーこ)","収入","給与(優)","","0","PfNdRWnd0H8ioPjfJNrxnw"
"0","2023/03/10","振込 シモヤマ シユウゴ","74418","みずほ銀行(しゅーご)","収入","給与(周)","","0","fZfudvMCBhJvLQrUH1Awaw"
"1","2023/03/09","タイヨー ビッグハウス印西店","-5590","三井住友カード","食費","食費","","0","mDyLMRI9oOBASlRi1rvE9w"
"1","2023/03/09","イオンリテール","-486","三井住友カード","食費","食費","","0","rVhUHm3fj15cxP1bg6PU1A"
"0","2023/03/09","普通 円 代表口座","-124028","住信SBIネット銀行","住宅","生活費","","1","dO01Z17-NQDyICXFPiACFw"
"1","2023/03/08","東京ガス","-12514","三井住友カード","住宅","ガス代","","0","Cn1FgnVxDguh01k9V8d4AA"
"1","2023/03/08","デワヤツクバテン","-594","三井住友カード","食費","食費","ごはんのおとも","0","FKbJnEC-hwewlBfYhv1m_g"
"1","2023/03/08","TiC","-2890","三井住友カード","日用品","インテリア","つくばひみつきち","0","HTQc9K2lffEER-3HrcaOAw"
"1","2023/03/08","ラクテンペイ ツクバハム チヨクバ","-3172","三井住友カード","食費","食費","","0","K91rRIb6cMvk9Q7_WHCMEw"
"0","2023/03/08","イーアスつくば","-3960","三井住友カード","衣服・美容","衣服","","0","v9rPkBY9f-1qFoLDcj71mw"
"1","2023/03/08","オンライン決済","-23650","三井住友カード","特別な支出","プレゼント","けいすけお祝い","0","7ZEaBjHqrns43Ss52tolsQ"
"1","2023/03/07","ソフトバンク(B)","-7097","三井住友カード","住宅","通信費(ネット)","","0","xX_uLAloMEtrccThAm6F1g"
"1","2023/03/07","保安用品専門店 Safety_ ラクテンイチバ740012","-5055","楽天カード","日用品","日用品","車止め","0","fNCpRzHAz49Lqll4qz9yKQ"
"1","2023/03/06","AMAZON.CO.JP","-2796","三井住友カード","日用品","DIY用品","775用ソーラーライト","0","QHppNbrtEg5JEyKH3AYCgg"
"1","2023/03/05","ウエルシア白井十余一","-604","三井住友カード","日用品","日用品","","0","PXKVW9dzGBucGWNcQQU6AQ"
"1","2023/03/04","タイヨー ビッグハウス印西店","-3348","三井住友カード","食費","食費","","0","9AE-0V4Evyl_CKgN7ejmnQ"
"1","2023/03/04","カインズホーム","-450","三井住友カード","日用品","日用品","","0","BeA1gVLs8v64ZEBDarejUg"
"1","2023/03/04","カインズホーム","-28668","三井住友カード","特別な支出","住宅・リフォーム","フェンス材料","0","OnPeFyV_ayOVpOB03n8Beg"
"1","2023/03/02","タイヨー ビッグハウス印西店","-775","三井住友カード","食費","食費","","0","YT0b7E670jxtP3ODinM7jA"
"0","2023/03/02","普通 円 代表口座","-450000","住信SBIネット銀行","住宅","生活費","","1","kf__ug1ydlpMGZhmHwFMHA"
"1","2023/03/02","ゆうちょ銀行 〇五八 普通預金 9192709 シモヤマ ユウコ(依頼人名:シモヤマ ユウコ 振込予定日:2023年03月02日 管理番号:20230302-08266502)","-50000","楽天銀行","住宅","お小遣い(優)","","0","283UC5e9YEJJiuQ1lARk8A"
"0","2023/03/02","普通 円 代表口座","-50000","住信SBIネット銀行","住宅","生活費","","1","bO4cr1BAzna-sdT7IH9Biw"
"0","2023/03/02","普通 円 代表口座","50000","住信SBIネット銀行","収入","その他入金","","1","dne4foxIixybEotuRUpBtQ"
"1","2023/03/02","普通 円 代表口座","-15000","住信SBIネット銀行","住宅","お小遣い(周)","","1","GAtmPgsNeFgOUtO1FmUTyA"
"1","2023/03/02","普通 円 代表口座","254540","住信SBIネット銀行","収入","給与(周)","","1","dvRS0-uHaBtHmXmgZNo5Ww"
"1","2023/03/02","コウリツガツコウキヨウサイクミアイチバシブ","214456","楽天銀行","収入","給与(優)","","0","ZZNKjCYX211Ei9Ozp9TGJQ"
"1","2023/03/01","ライフネット生命保険 ライフネットセイメイ","-1859","楽天カード","住宅","生命保険","","0","Bx80yVxlPORM0i4lYnJflg"
"1","2023/03/01","タイヨー ビッグハウス印西店","-11450","三井住友カード","食費","食費","","0","QYziqujuXnvbl7fYMivJsw"
